nome,paco_municipal,E-mail,Endereço,Responsável,divisao,Contato
Serviço de Atendimento Móvel de Urgência (SAMU),0,samu.cgr.braganca@gmail.com,12,Flávia Mendes,873,192 | (11) 4882-9840
Divisão de Obras Públicas,1,obras@braganca.sp.gov.br,31,Rodrigo Silva de Souza,874,(11) 4034-7100 (ramal 1103)
Divisão de Projetos e Posturas,1,dipp@braganca.sp.gov.br,31,Beatriz Perestrelo Pinto Gomes,875,(11) 4034-7073
Gabinete do Secretário,1,obras@braganca.sp.gov.br,31,Marcus Ivonica,876,(11) 4034-7100 (ramal 1103)
Divisão de Comunicação Social,1,bragancasecom@gmail.com,31,Barbara Franco Quadrini,877,(11) 4034-7100 (ramal 1054)
Gabinete da Secretária,1,bragancasecom@gmail.com,31,Karina Botião,878,(11) 4034-7100 (ramal 1055)
Divisão de Processos Judiciais,1,smaj@braganca.sp.gov.br,31,,879,(11) 4034-7263
Gabinete da Secretária,1,smaj@braganca.sp.gov.br,31,Dra. Thais de Almeida Miana,880,(11) 4034-7270 ou (11) 4034-7048
PROCON,1,consumidor.procon@braganca.sp.gov.br,31,,881,(11) 4034-7049 ou (11) 4034-7084
Almoxarifado,0,almoxarifado.semads@braganca.sp.gov.br,24,,882,(11) 4035-0888
CRAS Anchieta,0,crasanchieta@braganca.sp.gov.br,20,Aline Gomes da Silva Pimentel,889,(11) 4035-3067
CRAS Planejada,0,crasplanejada@braganca.sp.gov.br,13,Stefanie Godoy,889,(11) 4031-6321
CRAS Santa Libânia,0,crassantalibania@braganca.sp.gov.br,43,Charles Antonio Ramos Pereira,889,(11) 4034-5461
CRAS Vista Alegre,0,,41,Andrea Dutra Alves,889,(11) 4033-8741
CRAS Águas Claras,0,crasaguasclaras@braganca.sp.gov.br,16,Fabiana Heguis,889,(11) 4031-3176
Cadastro Único,0,cadunico@braganca.sp.gov.br,23,Luis Augusto Jamelli,889,(11) 4035-3934 | (11) 2473-7626
Casa de Passagem (Antigo Albergue),0,casadepassagem@braganca.sp.gov.br,14,Jocilene Freitas Barreto Gomes,883,(11) 99734-0369 | (11) 4035-2785
Centro Dia do Idoso,0,centrodiadoidoso@braganca.sp.gov.br,15,Renata de Souza Soares,884,(11) 4035-0929
Centro POP / Abordagem Social,0,centropop@braganca.sp.gov.br,8,Heryka Donatangelo,885,(11) 4032-6400 | (11) 95588-0272
Centro de Convivência do Idoso,0,centrodeconvivenciadoidoso@braganca.sp.gov.br,25,,886,(11) 4033-3289
Centro de Referência Especializado de Assistência Social (CREAS),0,creas.semads@braganca.sp.gov.br,21,,887,(11) 4603-1549
Conselho Tutelar,0,conselho.tutelar@braganca.sp.gov.br,89,,888,(11) 4033-7568
Gabinete do Secretário,0,semads@braganca.sp.gov.br,25,Marcos Roberto dos Santos,889,(11) 4033-1302 | (11) 4033-3289
Instância de Apoio aos Conselhos,0,conselhos.semads@braganca.sp.gov.br,25,,890,(11) 4033-3289
Programa Vida Longa,0,programavidalonga@braganca.sp.gov.br,70,Susana Aparecida Pereira Magdalena,891,(11) 4035-0065
Vigilância Socioassistencial,0,vsa.semads@braganca.sp.gov.br,25,,892,(11) 4033-3289
CATEC – Centro de Acesso às Tecnologias e Inclusão Digital,0,smgdei@braganca.sp.gov.br ou catec@braganca.sp.gov.br,85,,893,(11) 4033-1356 | (11) 4032-7758
Crédito Produtivo – Banco do Povo,0,bragancapaulista@bancodopovo.sp.gov.br,85,,894,(11) 4033-1356 (opção 5) | (11) 4033-0932 (Whatsapp)
Divisão de Apoio ao Desenvolvimento da Indústria e Comércio,0,,85,Gabriel Alves de Paula,895,(11) 4033-1356 | (11) 4032-7758
Divisão de Assuntos Parlamentares,1,,31,Luís Eduardo Sabatini de Barros,896,(11) 4034-7100
Divisão de Fomento ao Trabalho e Renda (PAT),0,patbraganca@sde.sp.gov.br,85,Tânia Regina Rosa Seminari,897,(11) 4033-1356 | (11) 4032-7758
Divisão de Inovação e Tecnologia (DIT),1,suporte.dit@braganca.sp.gov.br,31,Everton da Cruz Ferreira,898,(11) 4034-7140
EMPRESA FÁCIL,0,empresafacil@braganca.sp.gov.br,85,,899,(11) 4033-1356 | (11) 4032-7785
Gabinete do Secretário,0,smgdei@braganca.sp.gov.br,85,Arnaldo de Carvalho Pinto,900,(11) 4033-1356 | (11) 4032-7758
Sebrae Aqui Bragança Paulista,0,sebrae.braganca@gmail.com,85,,901,(11) 4033-1356 | (11) 4032-7758 | (11) 4033-4785 (Whatsapp)
Divisão da Juventude,0,semjel@braganca.sp.gov.br,49,Caroline de Oliveira,902,(11) 4034-2822
Divisão de Esportes,0,semjel@braganca.sp.gov.br,49,André Quartieri Alves,903,(11) 4034-2822
