rua,numero,cep,ponto_referencia,latitude,longitude,bairro
Rod. Padre Aldo Bolini,s/n,,Km 70,,,1
Estrada Municipal Fernando Frias Fernandes,s/n,,,,,2
Rod. Capitão Barduíno,s/n,,"Km 104,5",,,3
Rua da Liberdade,s/n,,,,,25
Rod. Alkindar Monteiro Junqueira,s/n,,"Km 42,5",,,5
Rua Luiz Izzo,s/n,,Frente a Capela Sto Expedito,,,6
Estr. Paschoal Bonafatti Azzis,s/n,,,,,7
Av. dos Imigrantes,3700,,,,,26
Rod. Padre Aldo Bolini,s/n,,km 75,,,34
Estr. Mun. Antônio Ap. Cardoso ,s/n,,,,,10
Rua Agenor de Carvalho,250,,,,,11
Rua Santi Joanni Baptista ,200,,,,,12
Rua Amazonas,480,,,,,36
Av. Dos Imigrantes,6929,,,,,18
Av. Eusebio Savaio,900,,,,,24
Rua Benedito Luiz Afonso,180,,,,,13
Rua Luis Payão,139,,,,,28
Av. São Vicente de Paula,s/n,,,,,22
Rua Agostinho Rosa,260,,,,,39
Rua Roberto Cardoso de Mello Tucunduva,s/n,,,,,15
Rua Dr. José Hermenegildo Pereira Guimarães,64,,,,,29
Rua Alexandre Berbari,101,,,,,26
Travessa Silva Pinto,180,,,,,51
Rua Zeferino Vasconcelos,573,,,,,29
Rua Jorge Abrão Judar,2,12902-220,,,,14
Rodovia Benevenuto Moretto,s/n,,Km 8,,,30
Rua Luis Fraulo,s/n,,Altura 523,,,31
Praça Cel. Jacintho Osório,26,,,,,32
Estrada Municipal Adelmo Antonio Menin,75,,,,,33
Rua Ver. José Leitão Xavier,s/n,,,,,54
Av. Antonio Pires Pimentel,2015,12914-900,Palácio Sto. Agostinho,,,8
Rua Profª. Estela Gazzaneo de Carvalho,100,,,,,45
Rua José Dominicci,1241,,,,,17
Rua Fidelis Cipriani,190,,,,,43
Av. Alpheu Grimello,50,,,,,44
Rua Francisco de Melo Cabral,109,,,,,49
Rua Aquiles Bianchi,30,,,,,48
Rua Benedito Luiz Afonso,160,,,,,13
Av. Paschoalino Cataldo,473,,,,,27
Rua Juvenal da Silva Guimarães,s/n,,,,,39
Rua Luiz Payão,261,,,,,28
Rua Carvalho Motta,420,,,,,51
Avenida Euzébio Savaio,1000,,,,,24
Av. Dr. Fernando Costa,s/n,,Posto de Monta,,,37
Av. Alonso Cintra Amaral,220,,,,,26
Av. Antonio Pierotti,920,,,,,13
Av. Antonio Pires Pimentel,1997,,,,,8
Av. Djanira Brandi Bertolotti,s/n,,,,,46
Av. dos Imigrantes,3.237,12908-590,,,,29
Av. Dr. Fernando Costa,107,,,,,15
Av. Elias Berbari,s/n,12908-681,,,,46
Av. Elias Berbari,s/n,12908-370,,,,21
Av. Ernesto Vaz de Lima,739,,,,,18
Av. Ernesto Vaz de Lima,751,,,,,18
Av. Eusébio Savaio,96,,,,,23
Av. Francisco Luchesi,421,,,,,19
Av. Oito de Maio,s/n,,,,,11
Av. São Lourenço,960,,,,,24
Avenida Dr. Fernando Costa,800,12912-140,Posto de Monta ,,,52
Avenida Francisco Samuel Luchesi Filho,42,12910-610,,,,19
Avenida N. Senhora da Penha,s/n,,,,,37
Avenida Santa Isabel,496,,,,,16
Estr. Mun. José Ap. Cabral de Oliveira,s/n,,,,,9
Estr. Mun. Ulysses da S.Guimarães,s/n,,,,,4
Estr. Municipal Francisco Rojas,1286,,,,,53
Estrada Municipal Francisca de Oliveira Assis,3140,,D. Chiquinha,,,2
Padre Aldo Bolini,,,Km 70,,,1
Praça Cel. Jacintho Osório,20,,,,,32
Praça José Bonifácio,126,,,,,8
R. Miguel Gomes de Oliveira,s/n,,,,,28
Rua Agenor de Carvalho,371,,,,,11
Rua Albino Dantas,s/n,12914-370,Jardim Público,,,8
Rua Agostinho Rosa,260,,,,,39
Rua Alexandre Berbari,101,,,,,26
Rua Amazonas,s/n,,,,,36
Rua Ampere,s/n,,Praça N. Senhora da Penha ,,,37
Rua Antonio Giacomo José Zordo,s/n,,,,,41
Rua Antônio Luppe,200,,,,,53
Rua Bernardo Stéfani,415,,,,,42
Rua Bocaina,478,,,,,24
Rua Cap. Júlio Gonçalves da Silva,301,,,,,45
Rua Cásper Líbero,1150,,,,,47
Rua Cel. João Leme,520,,,,,8
Rua Cel. Leme,20,,,,,8
Rua Cel. Teófilo Leme,1240,,Piso superior do Mercado Municipal,,,8
Rua Cherubina da Silva Leme,135,,,,,27
Rua Conselheiro Rodrigues Alves,251,,Centro Cultural Prefeito Jesus Adib Abi Chedid,,,8
Rua da Liberdade,s/n,12914-070,,,,25
Rua Dr. Silva Leme,326,,,,,25
Rua Eriberto Cursi,s/n,,,,,36
Rua Godofredo Bars,35,,,,,50
Rua Itapechinga,995,,,,,41
Rua Jorge Abrão Judar,2,12902-220,,,,14
Rua José de Oliveira,15,12910-670,,,,19
Rua José Dominicci,s/n,,,,,20
Rua José Roberto Mantovani,109,,,,,35
Rua Leovigildo Dantas de Brito,300,,,,,18
Rua Máximo Bertolini,s/n,,,,,27
Rua Santa Cruz,1180,,,,,50
Rua São Bento,s/n,,,,,47
Rua São Cristóvão,291,,,,,47
Rua Sebastião Cícero Franco,s/n,,,,,49
Rua Tereza Barbosa Fraulo,100,,,,,22
Rua Vicente Talamino,2,,,,,54
Rua Zeferino Alves do Amaral,s/n,,,,,19
Rua Zenovia Cioban,s/n,,,,,38
