id,nome,sigla,secretario_responsavel
0,Secretaria Municipal de Saúde,SMSA,
1,Secretaria Municipal de Serviços,SMS,
2,Secretaria Municipal de Obras,SMO,
3,Secretaria Municipal de Comunicação Social,SECOM,
4,Secretaria Municipal de Assuntos Jurídicos,SMAJ,
5,Secretaria Municipal de Ação e Desenvolvimento Social,SEMADS,
6,"Secretaria Municipal de Governo, Desenvolvimento Econômico e Inovação",SMGDEI,
7,"Secretaria Municipal de Juventude, Esportes e Lazer",SEMJEL,
8,Secretaria Municipal de Meio Ambiente,SMMA,
9,Secretaria Municipal de Mobilidade Urbana,SMMU,
10,Secretaria Municipal de Educação,SME,
11,Secretaria Municipal de Administração,SMA,
12,Secretaria Municipal de Cultura e Turismo,SMCT,
13,Secretaria Municipal de Desenvolvimento dos Agronegócios,SMAG,
14,Secretaria Municipal de Finanças,SEFIN,
15,Secretaria Municipal de Habitação,SMH,
16,Secretaria Municipal de Planejamento,SMP,
17,Secretaria Municipal de Segurança e Defesa Civil,SMSDC,
